Entity,Attribute,Key,Type,Related Entity,Relationship
users,id,PK,INT,,
users,name,,VARCHAR,,
users,email,,VARCHAR,,
users,username,,VARCHAR,,
users,password,,VARCHAR,,
users,role,,VARCHAR,,
users,failed_attempts,,INT,,
users,locked_until,,DATETIME,,
users,created_at,,DATETIME,,
users,updated_at,,DATETIME,,
students,student_id,PK,VARCHAR,,
students,grade_or_form,,VARCHAR,,
students,class,,VARCHAR,,
students,stream,,VARCHAR,,
students,enrolled_year,,YEAR,,
students,guardian_name,,VARCHAR,,
students,guardian_phone,,VARCHAR,,
students,linked_user_id,FK,INT,users,1→1
teachers,id,PK,INT,,
teachers,full_name,,VARCHAR,,
teachers,department,,VARCHAR,,
teachers,position,,VARCHAR,,
teachers,linked_user_id,FK,INT,users,1→1
hods,id,PK,INT,,
hods,department,,VARCHAR,,
hods,position,,VARCHAR,,
hods,linked_user_id,FK,INT,users,1→1
head_teachers,id,PK,INT,,
head_teachers,full_name,,VARCHAR,,
head_teachers,system_level,,VARCHAR,,
head_teachers,linked_user_id,FK,INT,users,1→1
admins,id,PK,INT,,
admins,full_name,,VARCHAR,,
admins,system_level,,VARCHAR,,
admins,linked_user_id,FK,INT,users,1→1
experiments,experiment_id,PK,INT,,
experiments,title,,VARCHAR,,
experiments,description,,TEXT,,
experiments,category,,VARCHAR,,
experiments,grade_level,,VARCHAR,,
experiments,created_at,,DATETIME,,
progress,progress_id,PK,INT,,
progress,student_id,FK,VARCHAR,students,1→M
progress,experiment_id,FK,INT,experiments,1→M
progress,score,,INT,,
progress,status,,VARCHAR,,
progress,started_at,,DATETIME,,
progress,completed_at,,DATETIME,,
ai_interactions,id,PK,INT,,
ai_interactions,user_id,FK,INT,users,1→M
ai_interactions,prompt,,TEXT,,
ai_interactions,response,,TEXT,,
ai_interactions,created_at,,DATETIME,,
security_logs,log_id,PK,INT,,
security_logs,user_id,FK,INT,users,1→M
security_logs,event_type,,VARCHAR,,
security_logs,ip_address,,VARCHAR,,
security_logs,user_agent,,VARCHAR,,
security_logs,details,,JSON,,
security_logs,timestamp,,DATETIME,,
